date,open,high,low,close,volume,currency
2017-09-05,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-09-06,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-09-07,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-09-08,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-09-09,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-09-10,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-09-11,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-09-12,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-09-13,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-09-14,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-09-15,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-09-16,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-09-17,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-09-18,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-09-19,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-09-20,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-09-21,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-09-22,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-09-23,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-09-24,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-09-25,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-09-26,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-09-27,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-09-28,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-09-29,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-09-30,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-10-01,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-10-02,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-10-03,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-10-04,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-10-05,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-10-06,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-10-07,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-10-08,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-10-09,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-10-10,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-10-11,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-10-12,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-10-13,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-10-14,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-10-15,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-10-16,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-10-17,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-10-18,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-10-19,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-10-20,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-10-21,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-10-22,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-10-23,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-10-24,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-10-25,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-10-26,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-10-27,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-10-28,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-10-29,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-10-30,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-10-31,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-11-01,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-11-02,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-11-03,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-11-04,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-11-05,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-11-06,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-11-07,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-11-08,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-11-09,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-11-10,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-11-11,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-11-12,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-11-13,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-11-14,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-11-15,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-11-16,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-11-17,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-11-18,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-11-19,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-11-20,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-11-21,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-11-22,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-11-23,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-11-24,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-11-25,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-11-26,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-11-27,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-11-28,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-11-29,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-11-30,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-12-01,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-12-02,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-12-03,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-12-04,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-12-05,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-12-06,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-12-07,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-12-08,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-12-09,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-12-10,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-12-11,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-12-12,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-12-13,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-12-14,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-12-15,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-12-16,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-12-17,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-12-18,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-12-19,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-12-20,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-12-21,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-12-22,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-12-23,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-12-24,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-12-25,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-12-26,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-12-27,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-12-28,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-12-29,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-12-30,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2017-12-31,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2018-01-01,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2018-01-02,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2018-01-03,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2018-01-04,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2018-01-05,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2018-01-06,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2018-01-07,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2018-01-08,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2018-01-09,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2018-01-10,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2018-01-11,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2018-01-12,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2018-01-13,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2018-01-14,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2018-01-15,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2018-01-16,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
2018-01-17,0.0,0.0,0.0,0.0,0.0,Axie Infinity Shards
