date,open,high,low,close,volume,currency
2017-09-05,0.0,0.0,0.0,0.0,0.0,Dai
2017-09-06,0.0,0.0,0.0,0.0,0.0,Dai
2017-09-07,0.0,0.0,0.0,0.0,0.0,Dai
2017-09-08,0.0,0.0,0.0,0.0,0.0,Dai
2017-09-09,0.0,0.0,0.0,0.0,0.0,Dai
2017-09-10,0.0,0.0,0.0,0.0,0.0,Dai
2017-09-11,0.0,0.0,0.0,0.0,0.0,Dai
2017-09-12,0.0,0.0,0.0,0.0,0.0,Dai
2017-09-13,0.0,0.0,0.0,0.0,0.0,Dai
2017-09-14,0.0,0.0,0.0,0.0,0.0,Dai
2017-09-15,0.0,0.0,0.0,0.0,0.0,Dai
2017-09-16,0.0,0.0,0.0,0.0,0.0,Dai
2017-09-17,0.0,0.0,0.0,0.0,0.0,Dai
2017-09-18,0.0,0.0,0.0,0.0,0.0,Dai
2017-09-19,0.0,0.0,0.0,0.0,0.0,Dai
2017-09-20,0.0,0.0,0.0,0.0,0.0,Dai
2017-09-21,0.0,0.0,0.0,0.0,0.0,Dai
2017-09-22,0.0,0.0,0.0,0.0,0.0,Dai
2017-09-23,0.0,0.0,0.0,0.0,0.0,Dai
2017-09-24,0.0,0.0,0.0,0.0,0.0,Dai
2017-09-25,0.0,0.0,0.0,0.0,0.0,Dai
2017-09-26,0.0,0.0,0.0,0.0,0.0,Dai
2017-09-27,0.0,0.0,0.0,0.0,0.0,Dai
2017-09-28,0.0,0.0,0.0,0.0,0.0,Dai
2017-09-29,0.0,0.0,0.0,0.0,0.0,Dai
2017-09-30,0.0,0.0,0.0,0.0,0.0,Dai
2017-10-01,0.0,0.0,0.0,0.0,0.0,Dai
2017-10-02,0.0,0.0,0.0,0.0,0.0,Dai
2017-10-03,0.0,0.0,0.0,0.0,0.0,Dai
2017-10-04,0.0,0.0,0.0,0.0,0.0,Dai
2017-10-05,0.0,0.0,0.0,0.0,0.0,Dai
2017-10-06,0.0,0.0,0.0,0.0,0.0,Dai
2017-10-07,0.0,0.0,0.0,0.0,0.0,Dai
2017-10-08,0.0,0.0,0.0,0.0,0.0,Dai
2017-10-09,0.0,0.0,0.0,0.0,0.0,Dai
2017-10-10,0.0,0.0,0.0,0.0,0.0,Dai
2017-10-11,0.0,0.0,0.0,0.0,0.0,Dai
2017-10-12,0.0,0.0,0.0,0.0,0.0,Dai
2017-10-13,0.0,0.0,0.0,0.0,0.0,Dai
2017-10-14,0.0,0.0,0.0,0.0,0.0,Dai
2017-10-15,0.0,0.0,0.0,0.0,0.0,Dai
2017-10-16,0.0,0.0,0.0,0.0,0.0,Dai
2017-10-17,0.0,0.0,0.0,0.0,0.0,Dai
2017-10-18,0.0,0.0,0.0,0.0,0.0,Dai
2017-10-19,0.0,0.0,0.0,0.0,0.0,Dai
2017-10-20,0.0,0.0,0.0,0.0,0.0,Dai
2017-10-21,0.0,0.0,0.0,0.0,0.0,Dai
2017-10-22,0.0,0.0,0.0,0.0,0.0,Dai
2017-10-23,0.0,0.0,0.0,0.0,0.0,Dai
2017-10-24,0.0,0.0,0.0,0.0,0.0,Dai
2017-10-25,0.0,0.0,0.0,0.0,0.0,Dai
2017-10-26,0.0,0.0,0.0,0.0,0.0,Dai
2017-10-27,0.0,0.0,0.0,0.0,0.0,Dai
2017-10-28,0.0,0.0,0.0,0.0,0.0,Dai
2017-10-29,0.0,0.0,0.0,0.0,0.0,Dai
2017-10-30,0.0,0.0,0.0,0.0,0.0,Dai
2017-10-31,0.0,0.0,0.0,0.0,0.0,Dai
2017-11-01,0.0,0.0,0.0,0.0,0.0,Dai
2017-11-02,0.0,0.0,0.0,0.0,0.0,Dai
2017-11-03,0.0,0.0,0.0,0.0,0.0,Dai
2017-11-04,0.0,0.0,0.0,0.0,0.0,Dai
2017-11-05,0.0,0.0,0.0,0.0,0.0,Dai
2017-11-06,0.0,0.0,0.0,0.0,0.0,Dai
2017-11-07,0.0,0.0,0.0,0.0,0.0,Dai
2017-11-08,0.0,0.0,0.0,0.0,0.0,Dai
2017-11-09,0.0,0.0,0.0,0.0,0.0,Dai
2017-11-10,0.0,0.0,0.0,0.0,0.0,Dai
2017-11-11,0.0,0.0,0.0,0.0,0.0,Dai
